name,From,To,Pos,Ht,Wt,Birth Date,College,player_headshot,player_id
Mark Alarie,1987,1991,F,6-8,217,1963-12-11,Duke University,,36
Gary Alcorn,1960,1961,C,6-9,225,1936-10-8,"California State University, Fresno",,37
Furkan Aldemir,2015,2015,F-C,6-10,240,1991-08-9,,,38
Cole Aldrich,2011,2017,C,6-11,250,1988-10-31,University of Kansas,"static/useful_pics/Cole Aldrich.png",39
LaMarcus Aldridge,2007,2017,F-C,6-11,260,1985-07-19,University of Texas at Austin,"static/useful_pics/LaMarcus Aldridge.png",40
Chuck Aleksinas,1985,1985,C,6-11,260,1959-02-26,University of Connecticut,,41
Cliff Alexander,2016,2016,F,6-8,245,1995-11-16,University of Kansas,,42
Cory Alexander,1996,2005,G,6-1,185,1973-06-22,University of Virginia,,43
Courtney Alexander,2001,2003,G,6-5,205,1977-04-27,"California State University, Fresno",,44
Gary Alexander,1994,1994,F,6-7,240,1969-11-1,University of South Florida,,45
Joe Alexander,2009,2010,F,6-8,230,1986-12-26,West Virginia University,"static/useful_pics/Joe Alexander.png",46
Victor Alexander,1992,2002,C-F,6-9,265,1969-08-31,Iowa State University,,47
Steve Alford,1988,1991,G,6-2,183,1964-11-23,Indiana University,,48
Bill Allen,1968,1968,C-F,6-8,205,,New Mexico State University,,49
Bob Allen,1969,1969,F,6-9,205,1946-07-17,Marshall University,,50
Jerome Allen,1996,1997,G,6-4,184,1973-01-28,University of Pennsylvania,,51
Lavoy Allen,2012,2017,F-C,6-9,260,1989-02-4,Temple University,"static/useful_pics/Lavoy Allen.png",52
Lucius Allen,1970,1979,G,6-2,175,1947-09-26,"University of California, Los Angeles",,53
Malik Allen,2002,2011,F-C,6-10,255,1978-06-27,Villanova University,"static/useful_pics/Malik Allen.png",54
Randy Allen,1989,1990,F,6-8,220,1965-01-26,Florida State University,,55
Ray Allen,1997,2014,G,6-5,205,1975-07-20,University of Connecticut,"static/useful_pics/Ray Allen.png",56
Tony Allen,2005,2017,G-F,6-4,213,1982-01-11,Oklahoma State University,"static/useful_pics/Tony Allen.png",57
Willie Allen,1972,1972,F,6-6,230,1949-02-8,University of Miami,,58
Odis Allison,1972,1972,F,6-6,195,1949-10-2,"University of Nevada, Las Vegas",,59
Lance Allred,2008,2008,C,6-11,250,1981-02-2,Weber State University,"static/useful_pics/Lance Allred.png",60
Darrell Allums,1981,1981,F,6-9,220,1958-09-12,"University of California, Los Angeles",,61
Morris Almond,2008,2012,G,6-6,225,1985-02-2,Rice University,"static/useful_pics/Morris Almond.png",62
Derrick Alston,1995,1997,F,6-11,225,1972-08-20,Duquesne University,,63
Rafer Alston,2000,2010,G,6-2,171,1976-07-24,"California State University, Fresno",,64
Peter Aluma,1999,1999,C,6-10,260,1973-04-23,Liberty University,,65
John Amaechi,1996,2003,C-F,6-10,270,1970-11-26,Pennsylvania State University,,66
Ashraf Amaya,1996,1997,F,6-8,230,1971-11-23,Southern Illinois University,,67
Al-Farouq Aminu,2011,2017,F,6-9,220,1990-09-21,Wake Forest University,"static/useful_pics/Al-Farouq Aminu.png",68
Louis Amundson,2007,2016,F,6-9,220,1982-12-7,"University of Nevada, Las Vegas","static/useful_pics/Louis Amundson.png",69
Bob Anderegg,1960,1960,F-G,6-3,200,1937-08-24,Michigan State University,,70
Chris Andersen,2002,2017,F-C,6-10,245,1978-07-7,Blinn College,"static/useful_pics/Chris Andersen.png",71
David Andersen,2010,2011,C,6-11,245,1980-06-23,,"static/useful_pics/David Andersen.png",72
Alan Anderson,2006,2017,G-F,6-6,220,1982-10-16,Michigan State University,"static/useful_pics/Alan Anderson.png",73
Andrew Anderson,1968,1970,G,6-2,184,1945-07-6,Canisius College,,74
Antonio Anderson,2010,2010,G,6-6,215,1985-06-5,University of Memphis,"static/useful_pics/Antonio Anderson.png",75
Cliff Anderson,1968,1971,G-F,6-2,200,1944-09-7,Saint Joseph's University,,76
Dan Anderson,1968,1969,C,6-10,230,1943-02-15,Augsburg College,,77
Dan Anderson,1975,1976,G,6-2,185,1951-01-1,University of Southern California,,78
Derek Anderson,1998,2008,G,6-5,194,1974-07-18,University of Kentucky,"static/useful_pics/Derek Anderson.png",79
Dwight Anderson,1983,1983,G,6-3,185,1960-12-28,University of Southern California,,80
Eric Anderson,1993,1994,F,6-9,220,1970-05-26,Indiana University,,81
Greg Anderson,1988,1998,F-C,6-10,230,1964-06-22,University of Houston,,82
J.J. Anderson,1983,1985,F,6-8,195,1960-09-23,Bradley University,,83
James Anderson,2011,2016,G-F,6-6,213,1989-03-25,Oklahoma State University,"static/useful_pics/James Anderson.png",84
Jerome Anderson,1976,1977,G,6-5,195,1953-10-9,West Virginia University,,85
Justin Anderson,2016,2017,G,6-6,228,1993-11-19,University of Virginia,,86
Kenny Anderson,1992,2005,G,6-0,168,1970-10-9,Georgia Institute of Technology,,87
Kim Anderson,1979,1979,F,6-7,200,1955-05-12,University of Missouri,,88
Kyle Anderson,2015,2017,F-G,6-9,230,1993-09-20,"University of California, Los Angeles",,89
Michael Anderson,1989,1989,G,5-11,184,1966-03-23,Drexel University,,90
Nick Anderson,1990,2002,F-G,6-6,205,1968-01-20,University of Illinois at Urbana-Champaign,,91
Richard Anderson,1983,1990,F-C,6-10,240,1960-11-19,"University of California, Santa Barbara",,92
Ron Anderson,1985,1994,F-G,6-7,215,1958-10-15,"California State University, Fresno",,93
Ryan Anderson,2009,2017,F,6-10,240,1988-05-6,University of California,"static/useful_pics/Ryan Anderson.png",94
Shandon Anderson,1997,2006,F-G,6-6,208,1973-12-31,University of Georgia,,95
Willie Anderson,1989,1997,G-F,6-7,190,1967-01-8,University of Georgia,,96
Wally Anderzunas,1970,1970,C-F,6-7,220,1946-01-11,Creighton University,,97
Martynas Andriuskevicius,2006,2006,C,7-2,240,1986-03-12,,,98
Don Anielak,1955,1955,F,6-7,190,1930-11-1,Missouri State University,,99
Michael Ansley,1990,1992,F,6-7,225,1967-02-8,University of Alabama,,100
Chris Anstey,1998,2000,C,7-0,249,1975-01-1,,,101
Giannis Antetokounmpo,2014,2017,F-G,6-11,222,1994-12-6,,,102
Thanasis Antetokounmpo,2016,2016,F,6-7,205,1992-07-17,,,103
Carmelo Anthony,2004,2017,F,6-8,240,1984-05-29,Syracuse University,"static/useful_pics/Carmelo Anthony.png",104
Greg Anthony,1992,2002,G,6-0,176,1967-11-15,"University of Nevada, Las Vegas",,105
Joel Anthony,2008,2017,C,6-9,245,1982-08-9,"University of Nevada, Las Vegas","static/useful_pics/Joel Anthony.png",106
Pero Antic,2014,2015,C-F,6-11,260,1982-07-29,,,107
Keith Appling,2016,2016,G,6-1,185,1992-02-13,Michigan State University,,108
Rafael Araujo,2005,2007,C,6-11,280,1980-08-12,Brigham Young University,,109
Stacey Arceneaux,1962,1962,F,6-4,210,1936-02-17,Iowa State University,,110
Robert Archibald,2003,2004,F,6-11,250,1980-03-29,University of Illinois at Urbana-Champaign,,111
Tiny Archibald,1971,1984,G,6-1,150,1948-09-2,University of Texas at El Paso,,112
Jim Ard,1971,1978,F-C,6-8,215,1948-09-19,University of Cincinnati,,113
Gilbert Arenas,2002,2012,G,6-3,191,1982-01-6,University of Arizona,"static/useful_pics/Gilbert Arenas.png",114
Trevor Ariza,2005,2017,F,6-8,215,1985-06-30,"University of California, Los Angeles","static/useful_pics/Trevor Ariza.png",115
Paul Arizin,1951,1962,F-G,6-4,190,1928-04-9,Villanova University,,116
Joe Arlauckas,1988,1988,F,6-9,230,1965-07-20,Niagara University,,117
B.J. Armstrong,1990,2000,G,6-2,175,1967-09-9,University of Iowa,,118
Bob Armstrong,1957,1957,C-F,6-8,220,1933-06-17,Michigan State University,,119
Brandon Armstrong,2002,2004,G,6-5,188,1980-06-16,Pepperdine University,,120
Curly Armstrong,1949,1951,G-F,5-11,170,1918-11-1,Indiana University,,121
Darrell Armstrong,1995,2008,G,6-0,170,1968-06-22,Fayetteville State University,"static/useful_pics/Darrell Armstrong.png",122
Hilton Armstrong,2007,2014,F-C,6-11,235,1984-11-11,University of Connecticut,"static/useful_pics/Hilton Armstrong.png",123
Tate Armstrong,1978,1979,G,6-3,175,1955-10-5,Duke University,,124
Jesse Arnelle,1956,1956,F,6-5,220,1933-12-30,Pennsylvania State University,,125
Jay Arnette,1964,1966,G,6-2,175,1938-12-19,University of Texas at Austin,,126
Bob Arnzen,1970,1974,F,6-5,205,1947-11-3,University of Notre Dame,,127
Carlos Arroyo,2002,2011,G,6-2,202,1979-07-30,Florida International University,"static/useful_pics/Carlos Arroyo.png",128
Darrell Arthur,2009,2017,F,6-9,235,1988-03-25,University of Kansas,"static/useful_pics/Darrell Arthur.png",129
John Arthurs,1970,1970,G,6-4,185,1947-08-15,Tulane University,,130
Omer Asik,2011,2017,C,7-0,255,1986-07-4,,"static/useful_pics/Omer Asik.png",131
Vincent Askew,1988,1998,G-F,6-6,210,1966-02-28,University of Memphis,,132
Keith Askins,1991,1999,G-F,6-7,197,1967-12-15,University of Alabama,,133
Don Asmonga,1954,1954,G,6-2,185,1928-02-15,Alliance College,,134
Dick Atha,1956,1958,G,6-2,190,1931-09-21,Indiana State University,,135
Chucky Atkins,2000,2010,G,5-11,160,1974-08-14,University of South Florida,"static/useful_pics/Chucky Atkins.png",136
Al Attles,1961,1971,G,6-0,175,1936-11-7,North Carolina Agricultural and Technical State University,,137
Chet Aubuchon,1947,1947,G,5-10,137,1916-05-18,Michigan State University,,138
Stacey Augmon,1992,2006,F-G,6-8,205,1968-08-1,"University of Nevada, Las Vegas",,139
D.J. Augustin,2009,2017,G,6-0,183,1987-11-10,University of Texas at Austin,"static/useful_pics/D.J. Augustin.png",140
James Augustine,2007,2008,F,6-10,235,1984-02-27,University of Illinois at Urbana-Champaign,"static/useful_pics/James Augustine.png",141
Isaac Austin,1992,2002,C,6-10,255,1969-08-18,Arizona State University,,142
Johnny Austin,1967,1968,G,6-0,170,1944-08-31,Boston College,,143
Ken Austin,1984,1984,F,6-9,205,1961-07-15,Rice University,,144
Anthony Avent,1993,2000,F,6-9,235,1969-10-18,Seton Hall University,,145
Bird Averitt,1974,1978,G,6-1,170,1952-07-22,Pepperdine University,,146
William Avery,2000,2002,G,6-2,197,1979-08-8,Duke University,,147
Dennis Awtrey,1971,1982,C,6-10,235,1948-02-22,Santa Clara University,,148
Gustavo Ayon,2012,2014,C,6-10,250,1985-04-1,,"static/useful_pics/Gustavo Ayon.png",149
Jeff Ayres,2010,2016,F,6-9,240,1987-04-29,Arizona State University,"static/useful_pics/Jeff Ayres.png",150
Kelenna Azubuike,2007,2012,G,6-5,220,1983-12-16,University of Kentucky,"static/useful_pics/Kelenna Azubuike.png",151
Chris Babb,2014,2014,G,6-5,225,1990-02-14,Iowa State University,,152
Luke Babbitt,2011,2017,F,6-9,225,1989-06-20,"University of Nevada, Reno","static/useful_pics/Luke Babbitt.png",153
Milos Babic,1991,1992,C-F,7-0,240,1968-11-23,Tennessee Technological University,,154
Johnny Bach,1949,1949,F-G,6-2,180,1924-07-10,Fordham University,,155
Henry Bacon,1973,1973,G,6-3,205,1948-07-5,University of Louisville,,156
Jim Baechtold,1953,1957,F-G,6-4,205,1927-12-9,Eastern Kentucky University,,157
Dalibor Bagaric,2001,2003,C,7-1,255,1980-02-7,,,158
John Bagley,1983,1994,G,6-0,185,1960-04-23,Boston College,,159
Carl Bailey,1982,1982,C,7-0,210,1958-04-23,Tuskegee University,,160
Gus Bailey,1975,1980,G-F,6-5,185,1951-02-18,University of Texas at El Paso,,161
James Bailey,1980,1988,F-C,6-9,220,1957-05-21,Rutgers University,,162
Thurl Bailey,1984,1999,F-C,6-11,215,1961-04-7,North Carolina State University,,163
Toby Bailey,1999,2000,G,6-6,213,1975-11-19,"University of California, Los Angeles",,164
Cameron Bairstow,2015,2016,F-C,6-9,250,1990-12-7,University of New Mexico,,165
Jimmie Baker,1976,1976,F,6-9,220,1953-12-25,University of Hawaii,,166
LaMark Baker,1999,1999,G,6-1,175,1969-11-11,Ohio State University,,167
Maurice Baker,2005,2005,G,6-1,175,1979-07-28,Oklahoma State University,,168
Norm Baker,1947,1947,G,6-0,180,1923-02-17,,,169
Ron Baker,2017,2017,G,6-4,220,1993-03-30,Wichita State University,,170
Vin Baker,1994,2006,F,6-11,232,1971-11-23,University of Hartford,,171
Wade Baldwin,2017,2017,G,6-4,202,1996-03-29,Vanderbilt University,,172
Renaldo Balkman,2007,2012,F,6-8,208,1984-07-14,University of South Carolina,"static/useful_pics/Renaldo Balkman.png",173
Cedric Ball,1991,1991,F,6-8,210,1968-04-16,University of North Carolina at Charlotte,,174
Greg Ballard,1978,1989,F,6-7,215,1955-01-29,University of Oregon,,175
Herschel Baltimore,1947,1947,F,6-4,195,1921-06-21,Pennsylvania State University,,176
Gene Banks,1982,1987,F-G,6-7,215,1959-05-15,Duke University,,177
Marcus Banks,2004,2011,G,6-2,200,1981-11-19,"University of Nevada, Las Vegas","static/useful_pics/Marcus Banks.png",178
Walker Banks,1971,1971,C,6-10,205,1947-08-26,Western Kentucky University,,179
Ken Bannister,1985,1991,F-C,6-9,235,1960-04-1,Saint Augustine's College,,180
Mike Bantom,1974,1982,F-C,6-9,200,1951-12-3,Saint Joseph's University,,181
John Barber,1957,1957,F,6-6,210,1927-06-27,"California State University, Los Angeles",,182
Leandro Barbosa,2004,2017,G,6-3,194,1982-11-28,,"static/useful_pics/Leandro Barbosa.png",183
Steve Bardo,1992,1996,G,6-5,190,1968-04-5,University of Illinois at Urbana-Champaign,,184
Jose Barea,2007,2017,G,6-0,185,1984-06-26,Northeastern University,"static/useful_pics/Jose Barea.png",185
Andrea Bargnani,2007,2016,F-C,7-0,245,1985-10-26,,"static/useful_pics/Andrea Bargnani.png",186
Cliff Barker,1950,1952,G,6-2,185,1921-01-15,University of Kentucky,,187
Tom Barker,1977,1979,C-F,6-11,225,1955-03-11,University of Hawaii,,188
Charles Barkley,1985,2000,F,6-6,252,1963-02-20,Auburn University,,189
Erick Barkley,2001,2002,G,6-1,177,1978-02-21,St. John's University,,190
Don Barksdale,1952,1955,F-C,6-6,200,1923-03-31,"University of California, Los Angeles",,191
Harrison Barnes,2013,2017,F,6-8,210,1992-05-30,University of North Carolina,"static/useful_pics/Harrison Barnes.png",192
Harry Barnes,1969,1969,F,6-3,205,1945-07-25,Northeastern University,,193
Jim Barnes,1965,1971,C-F,6-8,210,1941-04-13,University of Texas at El Paso,,194
Marvin Barnes,1975,1980,F-C,6-8,210,1952-07-27,Providence College,,195
Matt Barnes,2004,2017,F,6-7,226,1980-03-9,"University of California, Los Angeles","static/useful_pics/Matt Barnes.png",196
Dick Barnett,1960,1974,G-F,6-4,190,1936-10-2,Tennessee State University,,197
Jim Barnett,1967,1977,G-F,6-4,170,1944-07-7,University of Oregon,,198
Nathaniel Barnett,1976,1976,G,6-3,175,1953-01-29,University of Akron,,199
John Barnhill,1963,1972,G,6-1,180,1938-03-20,Tennessee State University,,200
Norton Barnhill,1977,1977,G,6-4,205,1953-07-15,Washington State University,,201
Leo Barnhorst,1950,1954,F-G,6-4,190,1924-05-11,University of Notre Dame,,202
John Barr,1947,1947,F,6-3,205,1918-08-8,Pennsylvania State University,,203
Mike Barr,1973,1977,G,6-3,180,1950-10-19,Duquesne University,,204
Moe Barr,1971,1971,G,6-4,195,1944-06-19,Duquesne University,,205
Andre Barrett,2005,2008,G,5-10,172,1982-02-21,Seton Hall University,,206
Ernie Barrett,1954,1956,G-F,6-3,180,1929-08-27,Kansas State University,,207
Mike Barrett,1970,1973,G,6-2,155,1943-09-5,West Virginia University Institute of Technology,,208
Earl Barron,2006,2015,C,7-0,250,1981-08-14,University of Memphis,"static/useful_pics/Earl Barron.png",209
Dana Barros,1990,2004,G,5-11,163,1967-04-13,Boston College,,210
Brent Barry,1996,2009,G,6-6,185,1971-12-31,Oregon State University,,211
Drew Barry,1998,2000,G,6-5,191,1973-02-17,Georgia Institute of Technology,,212
Jon Barry,1993,2006,G,6-4,195,1969-07-25,Georgia Institute of Technology,,213
Rick Barry,1966,1980,F,6-7,205,1944-03-28,University of Miami,,214
Ed Bartels,1950,1951,F,6-5,195,1925-10-8,North Carolina State University,,215
Vic Bartolome,1972,1972,C,7-0,230,1948-09-29,Oregon State University,,216
Will Barton,2013,2017,G,6-6,175,1991-01-6,University of Memphis,"static/useful_pics/Will Barton.png",217
Eddie Basden,2006,2006,G,6-5,215,1983-02-15,University of North Carolina at Charlotte,,218
Jerry Baskerville,1976,1976,F,6-7,190,1951-11-10,Temple University,,219
Brandon Bass,2006,2017,F,6-8,250,1985-04-30,Louisiana State University,"static/useful_pics/Brandon Bass.png",220
Tim Bassett,1974,1980,F-C,6-8,225,1951-04-1,University of Georgia,,221
Maceo Baston,2003,2009,F,6-9,215,1975-05-29,University of Michigan,,222
Mengke Bateer,2002,2004,C,6-11,290,1975-11-20,,,223
Billy Ray Bates,1980,1983,G,6-4,210,1956-05-31,Kentucky State University,,224
Esteban Batista,2006,2007,F-C,6-10,270,1983-09-2,,,225
Mike Batiste,2003,2003,F,6-8,225,1977-11-21,Arizona State University,,226
Tony Battie,1998,2012,C-F,6-11,230,1976-02-11,Texas Tech University,"static/useful_pics/Tony Battie.png",227
Shane Battier,2002,2014,F,6-8,220,1978-09-9,Duke University,"static/useful_pics/Shane Battier.png",228
John Battle,1986,1995,G,6-2,175,1962-11-9,Rutgers University,,229
Kenny Battle,1990,1993,F,6-6,210,1964-10-10,University of Illinois at Urbana-Champaign,,230
Dave Batton,1983,1984,C,6-10,240,1956-03-26,University of Notre Dame,,231
Lloyd Batts,1975,1975,G-F,6-4,185,1951-05-9,University of Cincinnati,,232
Nicolas Batum,2009,2017,F-G,6-8,200,1988-12-14,,"static/useful_pics/Nicolas Batum.png",233
Johnny Baum,1970,1974,F,6-5,200,1946-06-17,Temple University,,234
Frankie Baumholtz,1947,1947,G,5-10,170,1918-10-7,Ohio University,,235
Lonny Baxter,2003,2006,F,6-8,260,1979-01-27,University of Maryland,,236
Jerryd Bayless,2009,2017,G,6-3,200,1988-08-20,University of Arizona,"static/useful_pics/Jerryd Bayless.png",237
Elgin Baylor,1959,1972,F,6-5,225,1934-09-16,Seattle University,,238
Howard Bayne,1968,1968,F,6-6,235,1942-07-28,University of Tennessee,,239
Aron Baynes,2013,2017,C,6-10,260,1986-12-9,Washington State University,"static/useful_pics/Aron Baynes.png",240
Sergei Bazarevich,1995,1995,G,6-2,168,1965-03-16,,,241
Kent Bazemore,2013,2017,G-F,6-5,201,1989-07-1,Old Dominion University,"static/useful_pics/Kent Bazemore.png",242
Ed Beach,1951,1951,F,6-3,200,1929-01-25,West Virginia University,,243
Bradley Beal,2013,2017,G,6-5,207,1993-06-28,University of Florida,"static/useful_pics/Bradley Beal.png",244
Al Beard,1968,1968,C,6-9,200,1942-04-27,Norfolk State University,,245
Butch Beard,1970,1979,G,6-3,185,1947-05-4,University of Louisville,,246
Ralph Beard,1950,1951,G,5-10,175,1927-12-2,University of Kentucky,,247
Charles Beasley,1968,1971,G-F,6-5,190,1945-09-23,Southern Methodist University,,248
Jerome Beasley,2004,2004,F,6-10,237,1980-05-17,University of North Dakota,,249
John Beasley,1968,1974,F-C,6-9,225,1944-02-5,Texas A&M University,,250
Malik Beasley,2017,2017,G,6-5,196,1996-11-26,Florida State University,,251
Michael Beasley,2009,2017,F,6-9,235,1989-01-9,Kansas State University,"static/useful_pics/Michael Beasley.png",252
Zelmo Beaty,1963,1975,C,6-9,225,1939-10-25,Prairie View A&M University,,253
Rodrigue Beaubois,2010,2013,G,6-0,170,1988-02-24,,"static/useful_pics/Rodrigue Beaubois.png",254
Byron Beck,1968,1977,C-F,6-9,225,1945-01-25,University of Denver,,255
Corey Beck,1996,1999,G,6-1,190,1971-05-27,University of Arkansas,,256
Ernie Beck,1954,1961,G-F,6-4,190,1931-12-11,University of Pennsylvania,,257
Arthur Becker,1968,1973,F,6-7,205,1942-01-12,Arizona State University,,258
Moe Becker,1947,1947,G-F,6-1,185,1917-02-24,Duquesne University,,259
Bob Bedell,1968,1971,F,6-7,205,1944-06-26,Stanford University,,260
William Bedford,1987,1993,C,7-0,225,1963-12-14,University of Memphis,,261
Hank Beenders,1947,1949,C-F,6-6,185,1916-06-2,Long Island University,,262
Ron Behagen,1974,1980,F-C,6-9,185,1951-01-14,University of Minnesota,,263
Elmer Behnke,1952,1952,C,6-7,210,1929-02-3,Bradley University,,264
Marco Belinelli,2008,2017,G-F,6-5,210,1986-03-25,,"static/useful_pics/Marco Belinelli.png",265
Charlie Bell,2002,2011,G,6-3,200,1979-03-12,Michigan State University,"static/useful_pics/Charlie Bell.png",266
Dennis Bell,1974,1976,F,6-5,185,1951-06-2,Drake University,,267
Raja Bell,2001,2012,G,6-5,204,1976-09-19,Florida International University,"static/useful_pics/Raja Bell.png",268
Troy Bell,2004,2004,G,6-1,180,1980-11-10,Boston College,,269
Whitey Bell,1960,1961,G,6-0,180,1932-09-13,North Carolina State University,,270
Walt Bellamy,1962,1975,C,6-11,225,1939-07-24,Indiana University,,271
DeAndre' Bembry,2017,2017,F,6-6,210,1994-07-4,Saint Joseph's University,,272
Irv Bemoras,1954,1957,F-G,6-3,185,1930-11-18,University of Illinois at Urbana-Champaign,,273
Leon Benbow,1975,1976,G,6-4,185,1950-07-23,Jacksonville University,,274
Dragan Bender,2017,2017,F,7-1,225,1997-11-17,,,275
Jonathan Bender,2000,2010,F,6-11,202,1981-01-30,,"static/useful_pics/Jonathan Bender.png",276
Jerrelle Benimon,2015,2015,F,6-8,245,1991-08-1,Towson University,,277
Benoit Benjamin,1986,2000,C,7-0,250,1964-11-22,Creighton University,,278
Corey Benjamin,1999,2003,G,6-6,200,1978-02-24,Oregon State University,,279
Anthony Bennett,2014,2017,F,6-8,245,1993-03-14,"University of Nevada, Las Vegas",,280
Elmer Bennett,1995,1997,G,6-0,170,1970-02-13,University of Notre Dame,,281
Mario Bennett,1996,2000,F,6-6,235,1973-08-1,Arizona State University,,282
Mel Bennett,1976,1982,F,6-7,200,1955-01-4,University of Pittsburgh,,283
Spider Bennett,1969,1969,G,6-3,190,1943-08-4,Winston-Salem State University,,284
Tony Bennett,1993,1995,G,6-0,175,1969-06-1,University of Wisconsin-Green Bay,,285
Winston Bennett,1990,1992,F,6-7,210,1965-02-9,University of Kentucky,,286
David Benoit,1992,2001,F,6-8,220,1968-05-9,University of Alabama,,287
Keith Benson,2012,2012,C,6-11,240,1988-08-13,Oakland University,"static/useful_pics/Keith Benson.png",288
Kent Benson,1978,1988,C,6-10,235,1954-12-27,Indiana University,,289
Gene Berce,1950,1950,G-F,5-11,175,1926-11-22,Marquette University,,290
Gary Bergen,1957,1957,C,6-8,210,1932-07-16,University of Utah,,291
Larry Bergh,1970,1970,F,6-8,210,1945-04-2,Weber State University,,292
Ricky Berry,1989,1989,F,6-8,205,1964-10-6,San Jose State University,,293
Walter Berry,1987,1989,F,6-8,215,1964-05-14,St. John's University,,294
Davis Bertans,2017,2017,F,6-10,210,1992-11-12,,,295
Del Beshore,1979,1980,G,5-11,165,1956-11-29,California University of Pennslyvania,,296
Travis Best,1996,2005,G,5-11,182,1972-07-12,Georgia Institute of Technology,,297
Patrick Beverley,2013,2017,G,6-1,185,1988-07-12,University of Arkansas,"static/useful_pics/Patrick Beverley.png",298
Sim Bhullar,2015,2015,C,7-5,360,1992-12-2,New Mexico State University,,299
Wesley Bialosuknia,1968,1968,G,6-2,185,1945-06-8,University of Connecticut,,300
Al Bianchi,1957,1966,G,6-3,185,1932-03-26,Bowling Green State University,,301
Hank Biasatti,1947,1947,G,5-11,175,1922-01-14,Long Island University,,302
Henry Bibby,1973,1981,G,6-1,185,1949-11-24,"University of California, Los Angeles",,303
Mike Bibby,1999,2012,G,6-1,190,1978-05-13,University of Arizona,"static/useful_pics/Mike Bibby.png",304
Ed Biedenbach,1969,1969,G,6-1,175,1945-08-12,North Carolina State University,,305
Andris Biedrins,2005,2014,C,6-11,240,1986-04-2,,"static/useful_pics/Andris Biedrins.png",306
Don Bielke,1956,1956,C,6-7,240,,Valparaiso University,,307
Bob Bigelow,1976,1979,F-G,6-7,215,1953-12-26,University of Pennsylvania,,308
Lionel Billingy,1975,1975,F-C,6-9,215,1952-08-31,Duquesne University,,309
Chauncey Billups,1998,2014,G,6-3,202,1976-09-25,University of Colorado,"static/useful_pics/Chauncey Billups.png",310
Dave Bing,1967,1978,G,6-3,180,1943-11-24,Syracuse University,,311
